quote,author,book,parPage,ID,tags,yellowParts,stars,favorite,dateinsert,original,fileUrl,vydal,folder,sourceUrl,
"Zdá se, že problémy má já. Sebedotazováním se oddělujete od Já. A pak můžete jít dále dotazováním,

""Odkud jsem přišel?""

Na tuto otázku nikdy neodpovíte. Na dotaz to stačí. A zjistíte, že jste v tichu, prázdnotě. Jen když dojdete tak daleko, budete se cítit lépe, než jste se cítili v letech. Budete cítit takovou radost a takový klid. To nemá nic společného s osvícením. Ale budete cítit radost a mír. Víc než kdy předtím. Pouhým dotazem,

""Odkud pocházím?""

Důvod, proč cítíte takovou radost a mír, je ten, že si začínáte uvědomovat, že nejste já. Nemáte absolutně nic společného s problémy Já. Je to já, kdo cítí hněv. Je to já, které cítí bolest. Je to já, které cítí odmítnutí.
Robert Adams 💞💕",Adams Robert,,,135,odstup problém jacka#odstup problém osoby#****#***,,,,2023-07-02.,,,,,fb:Rober Adams,
"Robert Adams mluví: __
„Když jednáte z vnitřní Bytosti (Boha ve vás), všechna falešná iluze se rozplyne a zůstane jen láska. Nikdy nezůstávejte zticha, pokud vaše slova mohou někoho utěšit. Nedovolte, aby se spiritualita stala vyprahlým rozšířením intelektuality. Musíte mít teplo v srdci. Nikdy nezapomínejte na to nejdůležitější: lásku, soucit, pokoru. Bez těchto ctností není možné pokročit.”

Robert Adams ❤️🙏🙏🙏",Adams Robert,,,136,opravdovost#intelktualita#pandit#láska#soucit#pokora#*,,,,2023-07-02.,,,,,fb:Rober Adams,
"Robert Adams mluví: __
Otázka, kterou dostávám po telefonu nebo osobně, je tato: ""Roberte, jak vidíš svět?"" Jak mám vidět svět? Někdo mi říká: ""Vím, že ty vidíš vědomí, ty nás nevidíš."" Kdybych tě neviděl, nemohl bych fungovat. Samozřejmě, že tě vidím. Jiná osoba říká: ""Vidí jasná světla a svaté obrázky."" Ještě jednou, kdybych viděl jasná světla a svaté obrazy, srazil by mě náklaďák. Vidím přesně to, co vidíš ty, nic. Jediný rozdíl je následující. Dívám se na svět a směju se, protože si uvědomuji, že nevím, nebo nemyslím.

Uvědomuji si, že svět není nikdo jiný než já sám. Svět je vědomí. Svět není tím, čím se zdá, spíše je to superpozice. Mudrc proto vidí svět, ale uvědomuje si, že svět je Brahman a je to pouze zdání, zatímco většina lidí vidí svět a ztotožňuje se se světem. Proto mají strachy, frustrace, bolesti, spory, války, nelidskost člověka vůči člověku. Už jen proto, že se identifikují se světem.",Adams Robert,,,137,ilusivni bdění#dznanin a svět#iluzivní svět#ztotožnění světem#strhnutí dějem#prožívání příběhu,,,,2023-07-02.,,,,,fb:Rober Adams,
"Robert Adams:
Dnes ráno jsem se procházel v parku jako obvykle. Začal jsem mluvit s jedním pánem. Náhodou byl Muktanandovým oddaným. A požádal mě, abych mu řekl rozdíl mezi Jnana Marga a kundalini shakti. Ve skutečnosti samozřejmě žádný z nich neexistuje. Tím, že se budete držet kteréhokoli z nich, zabrání vám to osvobodit se. Cílem je opustit koncepty, jména a formy.
Ale diskutovali jsme a myslím, že o tom budeme mluvit, protože mě nenapadá nic jiného, ​​o čem bych mohl mluvit.
Co je kundalini shakti?
Jsou to sanskrtská slova, znamenající hadí sílu. Říká se, že když člověk intenzivně medituje na šakti, nebo když praktikuje tantrickou jógu, kundalini, hadí síla, se začne probouzet v základně páteře. Už teď vidíte klam toho, když se ve vaší páteři musí něco probudit.
Vaše páteř ve skutečnosti neexistuje, ani vaše tělo.
Jak se v něm tedy může něco probudit? Ale přesto vám ve všech knihách kundalini říká to samé. Takzvaná kundalini, která je jako had, začíná stoupat vzhůru kanálem, který přiléhá k páteři. Když se dotkne každé čakry, existuje sedm čaker, tato část se osvítí. Když to jde nahoru do korunní čakry, na temeni hlavy, celé tělo se osvítí. To se nazývá kundalini šakti.
Jak může dojít k osvícení lidského těla? Džňána Marga není o nic lepší nebo horší než kundalini šakti. Nesnažím se snižovat žádné učení.
Všechna učení jsou důležitá.
Všichni učitelé jsou důležití.
Vše se vyvíjí, jak má.
Všechno je na svém správném místě.
Ale jak může tělo vyvinout síly, nadpřirozené síly, a pak věříte, že je to osvícení. To, co kundalini šakti dělá, údajně dělá, když dosáhne korunní čakry, rozvinou se nadpřirozené síly.
Přesto vám mohu skutečně říci, že když Jnani pozorovali lidi s nadpřirozenými schopnostmi, nebyli příliš šťastní. Hádají se mezi sebou.
Nezáleží na tom, co můžete vyrobit ze vzduchu, nezáleží na tom, jestli dokážete vzkřísit lidi z mrtvých. To nemá absolutně nic společného s osvětou.
Skutečností je, že jste vědomí.
Jste absolutní realita.
Snaha o rozvoj schopností vás brzdí.
Snaha stát se slavným nafukuje ego.
Snaha něco vyvinout vám brání ve skutečném probuzení.
~ Robert Adams - T80 - Absolutní nicota - 25. července 1991",Adams Robert,,,138,hadí síla#čakry#snaha být něčím,,,,2023-07-02.,,,,,fb:Rober Adams,
"Bez ohledu na to, jak se věci mohou jevit, bez ohledu na to, co vnímáte, nejvyšší pravdou je vaše přirozenost, váš swarrupa, je neomezený prostor. Jste neomezený prostor, nehynoucí Já. To jsi ty. Celý vesmír se všemi jeho projevy je pouze navrstvením na Já. Stejně jako stromy, nebe, hory, lidé, místa a věci, to vše je v tomto prostoru. Tento prostor protéká vším, přesto zůstává sám sebou, čistý, tichý, klidný, dokonalý. V tomto prostoru se neustále dějí všechny možné věci, příčina a následek, karma, lidé se rodí, lidé umírají, miliardy hmyzu, zvířat, vegetace, vše se v tomto prostoru odehrává. Prostor se však nemění. Prostor je neomezený, neměnný, navždy stejný. ~Robert Adams ~",Adams Robert,,,139,plátno film#obrazovka,,,,2023-07-02.,,,,,fb:Rober Adams,
"Robert Adams mluví: __
Možná si v tomto životě nevšimnete mnoha změn. Ale pamatuj, že to, co nazýváš svým životem, je jen zlomek vteřiny ve věčnosti, takhle (lusknutí prstem), jsi tady a jsi pryč. Díky času a prostoru si myslíte, že máte sedmdesát, osmdesát nebo cokoliv jiného. Ne, život je jen zlomek vteřiny ve věčnosti, pak jsi pryč. Pokud jste nenašli svou realitu nebo své Já, můžete se vrátit znovu na tuto planetu nebo na jinou planetu a člověk, který zde žije relativně dobrý život, musí projít změnou. Můžete se narodit ve středověku, kdy se svět znovu otočil, a můžete se nechat chytit inkvizicí, nebo se nechat chytit jako špión nebo tak něco, budete mučeni a budou vám uříznuty prsty u nohou a jste odříznuti, máte prsty a vyrvaný jazyk a prožíváte podobné šťastné zážitky. To je druhá strana mince.

Robert Adams. Existuje pouze vědomí. ❤️",Adams Robert,,,140,okamžik věčnosti#reinkarnace,,,,2023-07-02.,,,,,fb:Rober Adams,
"Neklamte sami sebe. Pokud jste stále zapojeni do ubližování druhým, nepřátelství, pomluv, nelaskavosti, tajných motivů, podlosti, duchovně nerostete. Vaše tělo a činy jsou pod zákonem karmy. Musíte prozkoumat svou postavu. Potkávám tolik lidí, kteří říkají: ""Jsem svobodný, jsem čisté vědomí."" A myslí si, že si mohou dělat, co chtějí, jít si za čím chtějí, škodit druhým, být neuctiví. Jsou mimo kontrolu. Diví se, proč necítí radost, blaženost, Lásku, pravdu o svém bytí, lásku k lidstvu, všechny tyto věci. Pozorujte své činy. Mnozí tomu nerozumí. Myslí si, že mohou přeskočit základní základy a stát se „realizovanými“. Potkávám tolik lidí, kteří znají tolik duchovních termínů, kteří byli na cestě tolik let, byli tolikrát v Indii. Jsou na to hrdí. Znají každou duchovní terminologii, která existuje. Ale nemají žádné vědomí, žádnou realizaci, žádnou radost, žádné štěstí, žádnou laskavost. Klamají sami sebe.

Robert Adams",Adams Robert,,,141,očišťování#co chci#zabrždění,,,,2023-07-03.,,,,,fb:Rober Adams,
"Stále máme tendenci věřit, že když se dostaneme do duchovního učení, celé naše lidství se drasticky zlepší. Pokud jsme nemocní, budeme uzdraveni, pokud jsme chudí, budeme bohatí, pokud budeme mít duševní muka, budeme mít radost a štěstí. Ale to není duchovní učení. Vaše pocity a váš takzvaný život a vaše tělo nemají nic společného s duchovnem. Musíte to jednou provždy pochopit.

Skutečná spiritualita přesahuje relativní svět. Nemá to absolutně nic společného s lidským stavem. Přesto jste mě mnohokrát slyšeli říkat, že i vaše lidství se zlepšuje, takže to zní jako protimluv. Ale co jsem měl na mysli, bylo toto: když uděláte transcendenci, když se probudíte do svého pravého já, nemáte tušení, co se děje s tělem. Jste v jiné dimenzi, abych tak řekl.

Robert Adams",Adams Robert,,,142,tělo není duchovní#pocit není duchovní#tělo dznanina,,,,2023-07-03.,,,,,fb:Rober Adams,
"Robert Adams mluví: __
SS: Když meditujete, je v meditaci, kontemplaci, koncentraci atd. atd. tolik věcí, že jakmile začnu, vyberu si jednu mantru a pak změním na jinou a nakonec mě napadají myšlenky jako: „Teď Mám různé mantry"", až se mi zatočí hlava, ale pak přijde myšlenka na prázdnou mysl. Není nutné mít prázdnou nebo prázdnou mysl?

A: Nic takového jako vakuum neexistuje. (SS: je to ještě vědomí?) Existuje čistá inteligence, absolutní realita, ale to je nevyslovitelné, nemůžete to vysvětlit, musíte to zažít sami. To, co v buddhismu nazýváme prázdnotou, je čisté vědomí. Ve skutečnosti to není prázdnota, důvod, proč se tomu říká prázdnota, je ten, že přesahuje svět, je za vším, co znáte, a tak je to prázdno v tomto smyslu, ale je to opravdu čisté vědomí. (SS: A pokud během meditace nemáte žádné zkušenosti, neznamená to nic?) Absolutně nic, to vůbec nevadí. Zážitky nejsou realita (SS: Říkám to, protože chci získat nějaké potvrzení prostřednictvím pocitů, které jsem kdy měl... potvrdili jste různé myšlenky.) Všechny formy meditace, afirmace, jóga, dechová cvičení, to vše je zastavit mysl, uklidnit mysl, uvést mysl do klidu, ale to je udělat to silou. Nejrychlejší způsob, jak toho dosáhnout, je položit si otázku: ""Komu tyto myšlenky přicházejí?"" Jak jsem řekl dříve, musíte použít svou mysl k zabití své mysli. A tím, že si položíte otázku: „Komu takové myšlenky přicházejí?“, ale bez odpovědi se vše obstará samo. (SS: Bez odpovědi?) Neodpovídejte, protože když odpovídáte, je to vaše ego. Zdá se, že vaše ego má všechny správné odpovědi a nikdy se nikam nedostanete. Neodpovíte, ale přichází k vám pocit: ""Tyto myšlenky ke mně přicházejí, cítím tyto myšlenky,"" a další dotaz by měl znít: ""Odkud pochází já?"" nebo ""Kdo jsem?"" a znovu, neodpovídáš. A jednoho dne zjistíte, že já nepochází vůbec z ničeho, je to hypnóza, neexistuje žádné já, nikdy žádné já neexistovalo, existuje pouze Já-jsem, svoboda, vědomí, existence; všechna jsou synonyma. A budete cítit své Bytí (Já) ne jako tělo, ale jako všudypřítomnost. Uvědomíte si, že vše je vaše Já.Je jen jedno a ani to jedno neexistuje. Neexistuje žádné slovo, které by se dalo použít. Vše je Bytí a Vy jste To. (SS: Takže jde o to najít to Já?) Když použiješ slova, pokazíš to.

Je to mimo slova, mimo myšlenky. Přišlo to k tobě. Je to jako probuzení, jako byste celé ty roky spali a najednou se probudíte a víte to.

Musíte mít vlastní zkušenost
(Část druhá: Dialog)",Adams Robert,,,143,kdo jsem? neodpovidejte#komu myšlenka? neodpovidej#atmavicara#****,,,,2023-07-03.,,,,,fb:Rober Adams,
"Kdybys jen věděl, že se ti nikdy nic nemůže stát. Nikdy nebyl čas, kdy jste se narodili; nikdy nenastane chvíle, kdy zemřeš. Vždycky jsi žil. Vy jste Vědomí. Vždy jsi existoval.

Robert Adams",Adams Robert,,,144,,,,,2023-07-03.,,,,,fb:Rober Adams,
"Centrem hurikánu je mír
Lidé se mě ptají, když vidím mír, co tím myslím? Nemusím vidět mír tam, kde je klid. Cítím a vidím mír v každé situaci. Ať se zdá, že se děje cokoli, je zde mír. Stejně jako ve středu hurikánu existuje klidný kruh, úplné ticho uprostřed hurikánu. Totéž platí v centru tornáda, v cyklonu.
Je tam Centrum míru. Tím středem jsme my všichni.
Skutečný mír jste VY.
~ Ticho srdce...
~Robert Adams",Adams Robert,,,145,mír centrem hurikánu#****,,,,2023-07-03.,,,,,fb:Rober Adams,
"Nenechte se oklamat světem. Znovu a znovu opakuji. Svět se zdá být velmi silný. Nutí vás to chtít věci. Říká vám, abyste usilovali o toto, usilovali o to, abyste byli úspěšní. To vše je iluze. Už jste úspěšní. Všechny vaše potřeby budou uspokojeny, pokud budete mít víru a důvěřovat silám, které jsou, které jsou ve vás i bez vás. Vždy o vás bude postaráno. O tom není pochyb. Nemáš se absolutně čeho bát. Nemáš se absolutně čeho bát. Všechno je správně tak, jak to je. Nikdy nebyly žádné chyby. Nechte svět na pokoji, mentálně. Fyzicky budete tíhnout tam, kde máte být, a budete procházet zkušenostmi, kterými byste měli projít. Přesto na ně nereagujte, nechte vše být.

Robert Adams",Adams Robert,,,146,iluse věci úspěch#potřebné dostaneš#víra důvěra#přitažlivost světa#ptactvo polní#kázání na hoře#vse ok#***,,,,2023-07-03.,,,,,fb:Rober Adams,
"Svět přichází a odchází. Jeden den je svět takový, druhý den takový. Ale co to má společného s vámi? Nic. Jsi volný. Vy nejste svět. Nejste vaše tělo, nejste vaše mysl. Jste naprostá svoboda, naprostá radost, naprostá láska. Musíte se probudit k této skutečnosti. 💕😘
 Robert Adams
Přivítáme naše nové členy:
L",Adams Robert,,,147,svět je měňavka#film na prázdnu#nejsem forma#nejsem mysl#nejsem pojmy#nejsem telo#*****#****#bud#bud!,,,,2023-07-03.,,,,,fb:Rober Adams,
"Seberealizace přichází, když už na to nemyslíte, když už to nechcete.
Když se zcela odevzdáte mudrci, který říká, ať se stane ne má vůle, ale tvá.
Po celou dobu před sebou mít podobu a tvář mudrců.
Mudrc si uvědomí, když jste připraveni, pak přijde milost, přijde osvobození, ale nemyslete na tyto věci.
Vaším úkolem je rozvíjet obrovskou pokoru.
Když mluvím o rozvoji pokory, nemluvím o tom, že se stanete odrazovým můstkem pro lidi.
Skutečná pokora je síla, síla.
Skutečná pokora znamená, že už vás nic netrápí.
Nic nemá sílu vás vyrušit, narušit vaši rovnováhu.
Máte obrovský soucit.
Rozvíjíte milující laskavost ke všemu, k minerální říši, k rostlinné říši, k živočišné říši, k lidské říši.
Vystupuješ ze své lidské kápě a děláš krok vpřed ve věčnosti.
Nesrovnávání se s ostatními lidmi.
Nesnažit se někomu něco udělat.
Jednoduše vidíte Mudrce ve svém srdci po celou dobu a pak se nakonec sami stanete Mudrcem.
~Robert Adams...",Adams Robert,,,148,pokora#soucit#laskavost#bdělost k Ja#odevzdání#****#Milost,,,,2023-07-04.,,,,,fb:Rober Adams,
"Když vstoupíte do svého Já, skutečného Já,
ve vašem životě není žádná velká změna.
To je důležité pochopit.
Většina lidí věří, když se promění v Já,
osvobodí se, pak se stanou jakýmsi svatým,
a jdou po oblaku devět, mohou projít ohněm,
neutopí se v oceánu, mohou skákat z mostů a létat.
To se stane, když si vezmete LSD, (smích)
ne, když se staneš seberealizovaným.

Když se probudíš, vypadáš stejně jako teď,
jen ty jsi zcela svobodný. To je vše. Jste zcela, zcela svobodní.
Vaši lidé vás budou stále vidět stejně, jako jste teď.
Nevidí žádný rozdíl.
Pokud s vámi zůstanou dvacet čtyři hodin denně,
všimnou si, že už na věci nereagujete.
Všimnou si, že jsi se stal ztělesněním míru,
že jsi vždy šťastný, nic tě neruší.
Ale stále budete mít stejné tělo, abych tak řekl,
dokud není čas to zahodit.
Není se absolutně čeho bát.
Je to úžasný zážitek. proč to neudělat?
Vzal jsem z tebe všechen strach, všechny frustrace,
a víte, že se nestane nic zvláštního.
Tak to hned pusťte.
Staňte se svobodnými, osvobozenými. Pustit.

Necháš to jít? (smích)
Podle vyjádření některých z vás,
držíš se o život. (smích)
Čeho se držíš?
Předpokládám, že je trochu těžké se úplně pustit, pokud někdy chcete.
Pamatujte, že vám to vzalo tolik inkarnací
být tím, čím jsi teď.
Mít takové tělo, jaké právě teď nosíš,
nepřišel snadno.
To se nestalo. Musíte na tom nějak pracovat.
Je to tělo, které jste si takříkajíc vysloužili,
jestli tomu chceš věřit,
a trvalo ti mnoho inkarnací, abys získal toto tělo.
Proto se toho bojíte vzdát.
Proto se toho bojíte vzdát.

Takže tady přichází sádhana.
Nyní víte, proč děláme sádhanu.
Sadhana vás prostě dělá silnými, psychicky, fyzicky,
abych mohl pustit. To je vše, co sádhana dělá.
Sadhana vás nikdy neosvítí.
To vás činí jednobodovým ve vaší snaze o realizaci.
Dělá vás to soucitným. Rozvíjí pokoru, sílu.
Překonává veškerý strach.
A když se konečně dostanete do toho bodu,
vnitřní guru uchopí vaši mysl, strhne ji do srdce,
a budete osvobozeni.

💫 Robert Adams

T.159 - Já nebo svět
- 4. června 1992",Adams Robert,,,149,,,,,2023-07-04.,,,,,fb:Rober Adams,
"Cvičte to hned teď. Nechte myšlenky přijít, ať jsou jakékoli. Nedělejte absolutně nic. Nezáleží na tom, jaké jsou myšlenky. Nechte je přijít, bez ohledu na to, jak moc vás děsí, bez ohledu na to, jak mocní se zdají být, nechte je přijít. Odkud pocházejí myšlenky? Přicházejí odnikud. Nepocházejí z vědomí. Nepocházejí z čistého vědomí. Nepocházejí z Já. Odkud pocházejí myšlenky? Od nikud. Jsou optickým klamem. Neexistují. Jsou jako vzhled nebe na vrcholu hory. Zdá se, že obloha spočívá na vrcholu hory, ale je to optický klam. Myšlenky vůbec neexistují. Proto se ptáte sami sebe: ""Kdo myslí?"" a zjistíte, ego přemýšlí. Takže tady je další bod. Když se myšlenky zpomalí, zpomalí se i ego. Myšlenky a ego jsou synonyma. Jak se myšlenky zpomalují, ego se zpomaluje a začíná mizet také s myšlenkami. Když nejsou žádné myšlenky, není ani ego. Když není ego, nezbývá nikdo, kdo by mohl přemýšlet. Pak otázka, kterou si položíte, zní: ""Jak mohu fungovat bez přemýšlení?"" Jak jsem zmínil na začátku, myšlenky mudrce jsou jako spálené lano. Zdá se, že jsou skutečné, ale nejsou. Jinými slovy, vaše myšlenky nejsou skutečné. Jsou falešné. Jak fungujete bez myšlenek? Velmi dobře, děkuji. Mnozí z vás stále věří, že musíte mít myšlenky, abyste mohli fungovat. Myslíte si, že se stanete zeleninou, ale budete spontánní bez myšlenek. Budete motivováni Já. Budete vědět, co dělat, kam jít, s kým mluvit, s kým ne mluvit, mnohem lépe než teď, mnohem, mnohem lépe. Věci se vám budou dít spontánně. ~Robert Adams

Často mluvím o tom, že dovolím životu, aby k vám přišel. V absolutním přítomném okamžiku se život stává intuitivním a volby nejsou potřeba, protože srdce již ví, co dělat nebo nedělat. ~Padmā

Stát se je úsilí, bytí není žádné úsilí. ~Papaji",Adams Robert,,,150,myšlenky neexistují#myšlenky optický klam,,,,2023-07-04.,,,,,fb:Rober Adams,
"Robert Adams mluví: __
Zamyslete se hned teď, co je ve vašem životě na prvním místě? Neříkej mi to, jen o tom přemýšlej. Co je ve vašem životě na prvním místě? Můžeš si to vzít s sebou, až zemřeš? Nevidíš, že žiješ ve světě neustálých změn? Že jediná trvalá věc v životě je změna? Všechny okolnosti se mění. Skutečná je pouze pravda a pravda je neosobní. Musíte si to najít sami. Pro upřímného oddaného nebo studenta to dá ve svém životě na první místo, a pak začnete vidět výsledky. Pokud se ale stále něčeho trápíte a bojíte se a myslíte si, že na prvním místě jsou jiné povinnosti, tak na sobě musíte zapracovat.

Proto vám s velkým soucitem dávám některé věci, které můžete udělat, než dosáhnete seberealizace. Těsně předtím, než se stanete seberealizací, začnete cítit určité věci. A to jsou čtyři zásady, které jsem vám dal minulý týden. To k vám přichází automaticky. Ale jak jsem již zmínil minulou neděli a čtvrtek, musíte si tyto principy uvědomit, když se probudíte. Ve volném čase na ně nelze myslet. Ale nějak musíte mysl přesvědčit. Musíte přesvědčit svou mysl, aby myslela na čtyři principy, jakmile ráno otevřete oči.

Takže musíte udělat dvě věci. Když otevřete oči, můžete se buď zeptat sami sebe: ""Odkud se vzalo to já? Kdo jsem já, který jsem minulou noc spal? Kdo jsem já, který jsem se právě probudil? Kdo jsem já, který teď existuje?"" Nebo si můžete vymyslet čtyři principy. Cokoli je pro vás výhodné. Ale samozřejmě, pokud chcete seberealizaci a chcete se osvobodit a chcete se osvobodit od oceánu samsáry, světskosti a stát se šťastnými, pak je to na vás. Můžu se s vámi o tyto věci podělit, ale nemohu vás přimět, abyste je dělali. Můžu tě vzít do zlatého dolu, ale kopat musíš sám. Co je tedy první věc ve vašem životě? Cokoli je ve vašem životě na prvním místě, tím se stanete. Nakonec budete muset opustit své tělo, své myšlenky, svůj majetek, své milované. Všechno bude nakonec opuštěno. Moudrý člověk tedy nyní hledá pravdu a nyní se snaží být svobodný.

Tři vozidla seberealizace
Robert Adams 🙏🙏🙏",Adams Robert,,,151,co je první pro tebe?#trvalá jen změna#neosobní Pravda#na prvním místě starosti Pravda?#kdo se probudil?#oceán světa samsáry#****,,,,2023-07-04.,,,,,fb:Rober Adams,
"""Právě když dokážete pochopit sami sebe jako Vědomí, které prostupuje vším, budete schopni pochopit, že celý Vesmír je emanací vaší mysli. Vše, co vidíte, sai de você.""

#RobertAdams",Adams Robert,,,152,RobertAdams#jsem vědomí,,,,2023-07-04.,,,,,fb:Rober Adams,
"Jeden z mých oblíbených.....❣💕☺
Pokud nemůžete dělat nic jiného, ​​odevzdejte se vědomí. Co mám na mysli o odevzdání se, odevzdání svého ega, svých problémů, emocí, strachů, frustrace, zranění, vzteku. Vzdej to všechno.
Řekněte: ""Vezmi si to na vědomí.""
Pokud je to pro vás příliš abstraktní, dejte mi to všechno. Vezmu to, rozžvýkám to pro tebe a vyplivnu.
Takže když se ráno probudíte a cítíte se zmateně, cítíte se naštvaní nebo frustrovaní, řekněme:
""Dobře Roberte, vezmi si to ode mě. Dávám ti to."" A rád vám ho sundám z ramen, abyste unesl lehčí náklad. Pokud je to to, co musíte
dělat, dělat to.
Ale v žádném případě se nenechte unést svými emocemi. Zastavte se uprostřed a sledujte. Sledujte, jak vás ovládají emoce. Sledujte, jak vás ovládá strach. A sledujte, jak váš hněv stoupá. Nesnažte se to zastavit, jen se dívejte, pozorujte, dívejte se inteligentně a uvědomujte si, kdo se rozčiluje nebo frustruje, nejste to vy. Není to ani vaše ego, protože žádné ego neexistuje. Není to vaše tělo, protože žádné tělo neexistuje. Není to vaše mysl, protože žádná mysl neexistuje. Proto, co vás rozčiluje?
 Nic.

Robert Adams 😘",Adams Robert,,,153,odevzdej to#vzdej to#břemeno#unaseni emocemi#vězení emocí#pozoruj emoce,,,,2023-07-04.,,,,,fb:Rober Adams,
"✨
🔥. . A on řekl: ‘Kdokoliv najde význam těchto rčení nikdy neochutná smrt.”

♥️ Jeshua|Ježíš říká:
“Kdo hledá ať nepřestává hledat dokud nenajde.
A když najde bude zděšen.
A když je zděšen, bude žasnout.
A bude kralovat nad Vším.”

. . .

 UŽ JSTE SVOBODNÍ.

 ..toto tělo se nedomívá vědět, co vy už by jste nevěděli.

 Ve Skutečnosti jste nekonečná bytost, BYTÍ samo.
 

 Všechno, co se rodí, musí zemřít.
 Důvod, proč opouštíme naše tělo, jak se zdá, je proto se
 odmítáme vzdávat všeho, dokud jsme naživu.

 Přemýšlejte o tom.
 Pokud se dokážete vzdávat všeho,. . mentálně. Vzdejte se všeho ve své mysli. Všeho, mentálně. Včetně vašeho těla a mysli. Pokud jste to dokázali,
nebude třeba umírat,
 nikdo neumírá.

 pozor, že smrt je zde jen proto, aby vás osvobodila od vašich připoutaností.
 To je jediný důvod, proč existuje smrt.
 Někteří z nás jsou tak nešťastní, bez připoutanosti. Když mluvím o připoutanosti,

 Mám na mysli všechno.

 Řekněme, že jste nemocní. Bojíte se o své tělo, staráte se o tělo. To je jen příklad. Dokud jste připoutáni k vaší nemoci, pozorujte ji, mluvte o ní a pokoušíte se ji uzdravit. .
 tím, že s tím něco děláte !, ~ jste připoutáni a musíte zemřít.

 NENÍ TO NÁDHEŘE!

 Tak se můžete osvobodit,

 protože odmítnete věřit a

 VĚDĚT, ŽE

 JSTE VŽDY SVOBODNÍ.

~ ~ ~

STÁLE JEŠTĚ HLEDÁTE NĚKOHO KDO VÁS OSVOBODIL?

 ❤ Robert Adams 🙇‍♂️",Adams Robert,,,154,,,,,2023-07-05.,,,,,fb:Rober Adams,
"""Existují jógové skupiny a duchovní skupiny, které se tak zapletou do karmy a o tom se vždy mluví. ""Toto je moje karma, procházím svou karmou."" Toto se stane vaším Mistrem a udrží vás zpátky.

Toto je další forma máji. Velká iluze. ... Takže, když se vám stane něco, co se vám nelíbí, i když je to možná karmické, nezabírejte to do detailů, prostě to nechte! Jinými slovy, odpoutejte svou mysl od stavu, jak jen můžete.

Pozvedněte svou mysl na vyšší plošinu, na vyšší úroveň tím, že si začnete uvědomovat Já. Zeptáním se: ‚Komu tato podmínka přichází? Kdo to cítí? Dělám. Kdo jsem?' Nezabývejte se tedy karmou příliš dlouho. Pusť to!""

~ Robert Adams (americký mystik Advaita 20. století)",Adams Robert,,,155,pust karmu#zapletení do karmy#komu karmické podmínky?,,,,2023-07-05.,,,,,fb:Rober Adams,
